year,rank,code,name
2022,1,005930,삼성전자
2022,2,000660,SK하이닉스
2022,3,112040,위메이드
2022,4,302440,SK바이오사이언스
2022,5,051910,LG화학
2022,6,005290,동진쎄미켐
2022,7,035720,카카오
2022,8,035420,NAVER
2022,9,006400,삼성SDI
2022,10,068270,셀트리온
2022,11,066570,LG전자
2022,12,036570,엔씨소프트
2022,13,005380,현대차
2022,14,066970,엘앤에프
2022,15,259960,크래프톤
2022,16,005490,POSCO홀딩스
2022,17,009150,삼성전기
2022,18,377300,카카오페이
2022,19,323410,카카오뱅크
2022,20,247540,에코프로비엠
2022,21,293490,카카오게임즈
2022,22,000270,기아
2022,23,011200,HMM
2022,24,096770,SK이노베이션
2022,25,034220,LG디스플레이
2022,26,352820,하이브
2022,27,034020,두산에너빌리티
2022,28,263750,펄어비스
2022,29,207940,삼성바이오로직스
2022,30,003550,LG
2022,31,017670,SK텔레콤
2022,32,052690,한전기술
2022,33,086520,에코프로
2022,34,361610,SK아이이테크놀로지
2022,35,012330,현대모비스
2022,36,225570,넥슨게임즈
2022,37,000990,DB하이텍
2022,38,105560,KB금융
2022,39,095660,네오위즈
2022,40,003670,포스코퓨처엠
2022,41,033780,KT&G
2022,42,051900,LG생활건강
2022,43,196170,알테오젠
2022,44,055550,신한지주
2022,45,237690,에스티팜
2022,46,121600,나노신소재
2022,47,041510,에스엠
2022,48,137310,에스디바이오센서
2022,49,034730,SK
2022,50,003490,대한항공
2023,1,005930,삼성전자
2023,2,323410,카카오뱅크
2023,3,000660,SK하이닉스
2023,4,373220,LG에너지솔루션
2023,5,006400,삼성SDI
2023,6,035420,NAVER
2023,7,003670,포스코퓨처엠
2023,8,051910,LG화학
2023,9,005490,POSCO홀딩스
2023,10,112040,위메이드
2023,11,001570,금양
2023,12,377300,카카오페이
2023,13,066970,엘앤에프
2023,14,035720,카카오
2023,15,005380,현대차
2023,16,000270,기아
2023,17,247540,에코프로비엠
2023,18,064350,현대로템
2023,19,086520,에코프로
2023,20,066570,LG전자
2023,21,105560,KB금융
2023,22,034020,두산에너빌리티
2023,23,068270,셀트리온
2023,24,009830,한화솔루션
