"market","period","strategy","trades","win_rate","avg_pnl","cum_return","mdd","sharpe","avg_bars_held","buy_hold"
"KRW-BTC","FULL","v1","261","49.8%","-0.27%","-52.49%","54.35%","-2.03","13.6","-19.71%"
"KRW-BTC","FULL","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-19.71%"
"KRW-BTC","FULL","v3","215","40.5%","-0.21%","-38.53%","45.21%","-1.40","24.0","-19.71%"
"KRW-BTC","FULL","v4","208","40.4%","-0.25%","-43.12%","47.57%","-1.74","24.0","-19.71%"
"KRW-BTC","FULL","v5","144","44.4%","-0.26%","-32.26%","38.58%","-1.67","24.0","-19.71%"
"KRW-BTC","2025H1","v1","90","56.7%","-0.15%","-14.31%","26.25%","-1.01","14.5","+3.25%"
"KRW-BTC","2025H1","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","+3.25%"
"KRW-BTC","2025H1","v3","83","42.2%","-0.23%","-18.60%","27.39%","-1.40","24.0","+3.25%"
"KRW-BTC","2025H1","v4","77","41.6%","-0.10%","-8.37%","16.55%","-0.66","24.0","+3.25%"
"KRW-BTC","2025H1","v5","53","41.5%","-0.24%","-13.00%","21.03%","-1.29","24.0","+3.25%"
"KRW-BTC","2025H2","v1","100","50.0%","-0.23%","-21.37%","26.57%","-2.33","12.9","-12.59%"
"KRW-BTC","2025H2","v2","1","0.0%","-0.37%","-0.37%","0.37%","0.00","24.0","-12.59%"
"KRW-BTC","2025H2","v3","82","36.6%","-0.34%","-25.31%","30.97%","-2.72","23.7","-12.59%"
"KRW-BTC","2025H2","v4","80","37.5%","-0.39%","-27.73%","33.64%","-2.79","24.0","-12.59%"
"KRW-BTC","2025H2","v5","54","53.7%","-0.17%","-9.26%","13.72%","-1.26","24.0","-12.59%"
"KRW-BTC","2026Q1","v1","52","38.5%","-0.59%","-27.64%","28.19%","-3.44","13.8","-20.62%"
"KRW-BTC","2026Q1","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-20.62%"
"KRW-BTC","2026Q1","v3","34","44.1%","+0.01%","-0.48%","9.10%","0.04","23.7","-20.62%"
"KRW-BTC","2026Q1","v4","38","42.1%","-0.42%","-15.34%","20.79%","-2.65","24.0","-20.62%"
"KRW-BTC","2026Q1","v5","19","26.3%","-0.76%","-13.59%","14.44%","-4.73","24.0","-20.62%"
"KRW-BTC","2026Q2","v1","13","61.5%","-0.00%","-0.11%","2.38%","-0.06","11.1","+11.69%"
"KRW-BTC","2026Q2","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","+11.69%"
"KRW-BTC","2026Q2","v3","15","40.0%","+0.04%","+0.42%","2.99%","0.32","24.0","+11.69%"
"KRW-BTC","2026Q2","v4","12","50.0%","+0.35%","+4.03%","3.25%","2.25","24.0","+11.69%"
"KRW-BTC","2026Q2","v5","11","36.4%","-0.14%","-1.62%","3.13%","-1.33","24.0","+11.69%"
"KRW-ETH","FULL","v1","280","49.3%","-0.35%","-66.16%","68.47%","-1.84","14.6","-41.49%"
"KRW-ETH","FULL","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-41.49%"
"KRW-ETH","FULL","v3","228","47.8%","+0.02%","-7.19%","37.06%","0.07","24.0","-41.49%"
"KRW-ETH","FULL","v4","196","50.5%","+0.07%","+4.76%","31.25%","0.27","23.9","-41.49%"
"KRW-ETH","FULL","v5","137","40.1%","-0.47%","-50.47%","51.75%","-1.62","24.0","-41.49%"
"KRW-ETH","2025H1","v1","106","54.7%","-0.21%","-24.14%","34.66%","-1.02","14.9","-34.17%"
"KRW-ETH","2025H1","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-34.17%"
"KRW-ETH","2025H1","v3","77","46.8%","-0.10%","-12.54%","25.45%","-0.34","24.0","-34.17%"
"KRW-ETH","2025H1","v4","70","42.9%","-0.27%","-21.16%","31.25%","-0.86","24.0","-34.17%"
"KRW-ETH","2025H1","v5","43","34.9%","-0.77%","-29.35%","31.17%","-2.71","24.0","-34.17%"
"KRW-ETH","2025H2","v1","95","49.5%","-0.29%","-25.78%","37.51%","-1.83","14.6","+28.53%"
"KRW-ETH","2025H2","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","+28.53%"
"KRW-ETH","2025H2","v3","89","51.7%","+0.13%","+8.39%","32.38%","0.60","23.8","+28.53%"
"KRW-ETH","2025H2","v4","69","60.9%","+0.63%","+49.22%","17.95%","2.45","23.7","+28.53%"
"KRW-ETH","2025H2","v5","52","46.2%","-0.23%","-13.67%","33.38%","-0.72","24.0","+28.53%"
"KRW-ETH","2026Q1","v1","46","41.3%","-0.84%","-34.04%","37.00%","-3.44","14.5","-28.14%"
"KRW-ETH","2026Q1","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-28.14%"
"KRW-ETH","2026Q1","v3","36","44.4%","+0.26%","+8.18%","11.89%","1.08","24.0","-28.14%"
"KRW-ETH","2026Q1","v4","30","53.3%","+0.16%","+3.27%","15.65%","0.53","24.0","-28.14%"
"KRW-ETH","2026Q1","v5","20","45.0%","-0.55%","-11.35%","17.93%","-1.47","24.0","-28.14%"
"KRW-ETH","2026Q2","v1","29","44.8%","-0.29%","-8.42%","13.90%","-2.72","14.2","-5.36%"
"KRW-ETH","2026Q2","v2","1","100.0%","+3.94%","+3.94%","0.00%","0.00","24.0","-5.36%"
"KRW-ETH","2026Q2","v3","25","40.0%","-0.44%","-11.02%","19.10%","-2.35","24.0","-5.36%"
"KRW-ETH","2026Q2","v4","26","42.3%","-0.41%","-10.47%","15.66%","-2.66","23.5","-5.36%"
"KRW-ETH","2026Q2","v5","10","10.0%","-1.19%","-11.38%","12.57%","-6.38","24.0","-5.36%"
"KRW-XRP","FULL","v1","281","47.3%","-0.38%","-70.57%","78.83%","-1.76","15.2","-37.82%"
"KRW-XRP","FULL","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-37.82%"
"KRW-XRP","FULL","v3","224","40.6%","-0.10%","-32.24%","46.45%","-0.30","24.0","-37.82%"
"KRW-XRP","FULL","v4","196","49.0%","+0.22%","+32.13%","28.27%","0.65","24.0","-37.82%"
"KRW-XRP","FULL","v5","130","46.2%","-0.12%","-20.60%","39.67%","-0.33","24.0","-37.82%"
"KRW-XRP","2025H1","v1","98","46.9%","-0.69%","-52.97%","61.05%","-2.54","15.5","-5.73%"
"KRW-XRP","2025H1","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-5.73%"
"KRW-XRP","2025H1","v3","72","38.9%","-0.17%","-19.73%","38.81%","-0.37","24.0","-5.73%"
"KRW-XRP","2025H1","v4","65","50.8%","+0.39%","+19.27%","27.75%","0.89","23.9","-5.73%"
"KRW-XRP","2025H1","v5","46","41.3%","-0.19%","-11.63%","32.85%","-0.43","23.7","-5.73%"
"KRW-XRP","2025H2","v1","97","47.4%","-0.36%","-31.45%","36.85%","-1.99","14.8","-9.46%"
"KRW-XRP","2025H2","v2","1","100.0%","+1.39%","+1.39%","0.00%","0.00","18.0","-9.46%"
"KRW-XRP","2025H2","v3","83","39.8%","+0.07%","+1.05%","31.36%","0.26","24.0","-9.46%"
"KRW-XRP","2025H2","v4","74","54.1%","+0.39%","+27.06%","21.74%","1.28","24.0","-9.46%"
"KRW-XRP","2025H2","v5","45","48.9%","-0.21%","-10.98%","32.90%","-0.63","24.0","-9.46%"
"KRW-XRP","2026Q1","v1","46","43.5%","-0.23%","-12.77%","25.12%","-0.90","15.5","-25.86%"
"KRW-XRP","2026Q1","v2","0","0.0%","+0.00%","+0.00%","0.00%","0.00","0.0","-25.86%"
"KRW-XRP","2026Q1","v3","37","43.2%","-0.01%","-2.58%","23.62%","-0.04","24.0","-25.86%"
"KRW-XRP","2026Q1","v4","31","38.7%","+0.08%","+0.57%","17.30%","0.25","24.0","-25.86%"
"KRW-XRP","2026Q1","v5","12","41.7%","-0.46%","-5.67%","10.51%","-1.24","24.0","-25.86%"
"KRW-XRP","2026Q2","v1","37","45.9%","-0.02%","-1.02%","7.20%","-0.27","13.9","-2.29%"
"KRW-XRP","2026Q2","v2","1","100.0%","+0.32%","+0.32%","0.00%","0.00","24.0","-2.29%"
